run_accession	sample_alias	sample_number	fat_type
ERR2225804	E387_5_brown_fat	5	brown_fat
ERR2225808	E387_9_brown_fat	9	brown_fat
ERR2225815	E387_16_white_fat	16	white_fat
ERR2225817	E387_18_white_fat	18	white_fat
ERR2225820	E387_27_brown_fat	27	brown_fat
ERR2225821	E387_28_white_fat	28	white_fat
ERR2225805	E387_6_white_fat	6	white_fat
ERR2225806	E387_7_brown_fat	7	brown_fat
ERR2225809	E387_10_white_fat	10	white_fat
ERR2225810	E387_11_brown_fat	11	brown_fat
ERR2225812	E387_13_brown_fat	13	brown_fat
ERR2225814	E387_15_brown_fat	15	brown_fat
ERR2225816	E387_17_brown_fat	17	brown_fat
ERR2225819	E387_24_white_fat	24	white_fat
ERR2225822	E387_31_brown_fat	31	brown_fat
ERR2225823	E387_32_white_fat	32	white_fat
ERR2225807	E387_8_white_fat	8	white_fat
ERR2225811	E387_12_white_fat	12	white_fat
ERR2225813	E387_14_white_fat	14	white_fat
ERR2225818	E387_23_brown_fat	23	brown_fat
